Time,99.8 cP,2096 cP,6033 cP,11469 cP,20962 cP
40.4,0.741395349,0.490723982,0.408948546,0.371106095,0.369213483
40.6,0.741395349,0.490271494,0.408948546,0.371106095,0.369213483
40.8,0.741395349,0.490271494,0.408948546,0.371106095,0.369213483
41,0.741395349,0.490271494,0.408948546,0.371106095,0.369213483
41.2,0.741395349,0.490271494,0.408948546,0.371106095,0.369213483
41.4,0.741395349,0.490271494,0.408948546,0.371106095,0.369213483
41.6,0.741395349,0.490045249,0.408948546,0.371106095,0.369438202
41.8,0.741395349,0.490045249,0.408948546,0.371106095,0.369438202
42,0.741395349,0.490271493,0.408948546,0.371106095,0.369213483
42.2,0.741162791,0.490045249,0.408948546,0.371106095,0.369213483
42.4,0.740930233,0.490271493,0.408948546,0.371106095,0.369213483
42.6,0.740930233,0.491176471,0.408948546,0.371106095,0.369213483
42.8,0.740930233,0.491855204,0.408948546,0.371331828,0.369662921
43,0.741627907,0.492533937,0.408948546,0.371331828,0.369662921
